Date,Attraction,Avg_Temperature,Rainfall_mm,Public_Holiday_Count,Festival_Season,Foreign_Visitors_%,Visitor_Count
2023-06-08,Sigiriya Rock Fortress,30.4,4.5,0,None,42,3076
2023-06-09,Sigiriya Rock Fortress,29.9,24.5,0,None,41,2134
2023-06-10,Sigiriya Rock Fortress,30.1,43.4,0,None,54,2708
2023-06-11,Sigiriya Rock Fortress,30.2,18.4,0,None,41,2358
2023-06-12,Sigiriya Rock Fortress,32.0,5.9,0,None,50,2440
2023-06-13,Sigiriya Rock Fortress,30.2,11.3,0,None,45,2594
2023-06-14,Sigiriya Rock Fortress,31.2,9.3,0,None,45,2107
2023-06-15,Sigiriya Rock Fortress,30.1,16.8,0,None,40,1707
2023-06-16,Sigiriya Rock Fortress,31.3,14.6,0,None,45,2347
2023-06-17,Sigiriya Rock Fortress,30.9,5.8,0,None,40,3193
2023-06-18,Sigiriya Rock Fortress,30.6,2.6,0,None,46,3037
2023-06-19,Sigiriya Rock Fortress,30.7,10.1,0,None,44,2281
2023-06-20,Sigiriya Rock Fortress,30.3,4.8,0,None,39,1906
2023-06-21,Sigiriya Rock Fortress,31.0,1.4,0,None,51,2696
2023-06-22,Sigiriya Rock Fortress,30.4,3.6,0,None,48,2640
2023-06-23,Sigiriya Rock Fortress,30.0,1.0,0,None,42,2012
2023-06-24,Sigiriya Rock Fortress,29.9,6.9,0,None,46,3201
2023-06-25,Sigiriya Rock Fortress,30.8,50.4,0,None,44,2594
2023-06-26,Sigiriya Rock Fortress,31.6,5.8,0,None,40,2616
2023-06-27,Sigiriya Rock Fortress,30.8,5.7,0,None,45,2558
2023-06-28,Sigiriya Rock Fortress,30.6,7.4,0,None,41,2474
2023-06-29,Sigiriya Rock Fortress,30.8,29.5,0,None,39,2151
2023-06-30,Sigiriya Rock Fortress,31.5,50.6,0,None,35,1926
2023-07-01,Sigiriya Rock Fortress,30.8,36.9,0,Peak Season,55,3285
2023-07-02,Sigiriya Rock Fortress,30.4,20.5,1,Peak Season,60,4278
2023-07-03,Sigiriya Rock Fortress,31.3,2.8,0,Peak Season,53,3364
2023-07-04,Sigiriya Rock Fortress,30.9,21.0,0,Peak Season,72,3607
2023-07-05,Sigiriya Rock Fortress,31.6,1.3,0,Peak Season,62,3802
2023-07-06,Sigiriya Rock Fortress,30.7,1.0,1,Peak Season,65,4464
2023-07-07,Sigiriya Rock Fortress,29.9,9.6,0,Peak Season,62,3803
2023-07-08,Sigiriya Rock Fortress,29.8,8.4,0,Peak Season,68,4479
2023-07-09,Sigiriya Rock Fortress,31.6,6.9,0,Peak Season,52,3827
2023-07-10,Sigiriya Rock Fortress,31.6,5.5,0,Peak Season,42,3358
2023-07-11,Sigiriya Rock Fortress,30.5,13.5,0,Peak Season,54,3201
2023-07-12,Sigiriya Rock Fortress,30.3,9.7,0,Peak Season,60,3493
2023-07-13,Sigiriya Rock Fortress,31.4,68.5,0,Peak Season,58,2902
2023-07-14,Sigiriya Rock Fortress,29.9,19.6,0,Peak Season,59,2633
2023-07-15,Sigiriya Rock Fortress,30.0,12.1,0,Peak Season,65,4665
2023-07-16,Sigiriya Rock Fortress,30.9,4.1,0,Peak Season,59,4279
2023-07-17,Sigiriya Rock Fortress,30.2,4.1,0,Peak Season,62,3503
2023-07-18,Sigiriya Rock Fortress,30.5,5.8,0,Peak Season,51,3850
2023-07-19,Sigiriya Rock Fortress,30.3,12.0,0,Peak Season,50,3250
2023-07-20,Sigiriya Rock Fortress,30.6,17.1,0,Peak Season,67,3611
2023-07-21,Sigiriya Rock Fortress,31.2,4.4,0,Peak Season,58,3486
2023-07-22,Sigiriya Rock Fortress,30.4,27.8,0,Peak Season,53,4108
2023-07-23,Sigiriya Rock Fortress,30.7,6.8,0,Peak Season,53,3984
2023-07-24,Sigiriya Rock Fortress,29.1,43.7,0,Peak Season,53,2991
2023-07-25,Sigiriya Rock Fortress,30.3,9.3,0,Peak Season,53,3678
2023-07-26,Sigiriya Rock Fortress,29.8,19.9,0,Peak Season,49,3325
2023-07-27,Sigiriya Rock Fortress,29.5,0.5,0,Peak Season,48,3389
2023-07-28,Sigiriya Rock Fortress,29.7,3.6,0,Peak Season,56,3759
2023-07-29,Sigiriya Rock Fortress,30.0,6.0,0,Peak Season,53,4550
2023-07-30,Sigiriya Rock Fortress,30.8,1.4,0,Peak Season,64,4343
2023-07-31,Sigiriya Rock Fortress,29.4,6.6,0,Peak Season,59,3547
2023-08-01,Sigiriya Rock Fortress,30.2,5.2,0,Esala Festival,59,3504
2023-08-02,Sigiriya Rock Fortress,29.8,24.9,0,Esala Festival,53,3396
2023-08-03,Sigiriya Rock Fortress,29.9,0.1,0,Esala Festival,56,3331
2023-08-04,Sigiriya Rock Fortress,30.7,14.6,0,Esala Festival,59,3310
2023-08-05,Sigiriya Rock Fortress,30.4,20.9,0,Esala Festival,61,3533
2023-08-06,Sigiriya Rock Fortress,30.8,43.0,0,Esala Festival,56,3270
2023-08-07,Sigiriya Rock Fortress,29.9,17.2,0,Esala Festival,63,3270
2023-08-08,Sigiriya Rock Fortress,29.6,2.5,0,Esala Festival,57,3430
2023-08-09,Sigiriya Rock Fortress,29.8,6.2,0,Esala Festival,62,3884
2023-08-10,Sigiriya Rock Fortress,30.1,10.6,0,Esala Festival,54,3426
2023-08-11,Sigiriya Rock Fortress,30.0,27.4,0,Esala Festival,46,2759
2023-08-12,Sigiriya Rock Fortress,29.2,0.4,0,Esala Festival,59,3879
2023-08-13,Sigiriya Rock Fortress,29.9,14.1,0,Esala Festival,61,4238
2023-08-14,Sigiriya Rock Fortress,29.9,0.7,0,Esala Festival,60,3776
2023-08-15,Sigiriya Rock Fortress,31.3,4.1,0,Esala Festival,60,3542
2023-08-16,Sigiriya Rock Fortress,30.9,1.1,0,Esala Festival,55,3371
2023-08-17,Sigiriya Rock Fortress,29.2,3.3,0,Esala Festival,52,3576
2023-08-18,Sigiriya Rock Fortress,29.5,17.3,0,Esala Festival,60,3096
2023-08-19,Sigiriya Rock Fortress,28.8,5.1,0,Esala Festival,60,4073
2023-08-20,Sigiriya Rock Fortress,29.3,2.8,0,Esala Festival,54,4424
2023-08-21,Sigiriya Rock Fortress,29.8,2.3,0,Esala Festival,64,3623
2023-08-22,Sigiriya Rock Fortress,30.3,1.6,0,Esala Festival,52,3217
2023-08-23,Sigiriya Rock Fortress,29.1,15.7,0,Esala Festival,53,3284
2023-08-24,Sigiriya Rock Fortress,29.1,8.0,0,Esala Festival,67,3435
2023-08-25,Sigiriya Rock Fortress,28.2,10.9,0,Esala Festival,62,3075
2023-08-26,Sigiriya Rock Fortress,29.3,0.8,0,Esala Festival,55,4120
2023-08-27,Sigiriya Rock Fortress,28.7,7.9,0,Esala Festival,59,4178
2023-08-28,Sigiriya Rock Fortress,29.0,0.1,0,Esala Festival,58,3399
2023-08-29,Sigiriya Rock Fortress,28.8,21.7,0,Esala Festival,41,2813
2023-08-30,Sigiriya Rock Fortress,29.2,12.8,0,Esala Festival,52,3003
2023-08-31,Sigiriya Rock Fortress,28.2,6.5,1,Esala Festival,57,3962
2023-09-01,Sigiriya Rock Fortress,28.3,0.0,0,None,43,2251
2023-09-02,Sigiriya Rock Fortress,30.4,2.0,0,None,46,2806
2023-09-03,Sigiriya Rock Fortress,28.3,0.9,0,None,52,3492
2023-09-04,Sigiriya Rock Fortress,28.4,5.9,0,None,43,2410
2023-09-05,Sigiriya Rock Fortress,30.1,10.4,1,None,39,3017
2023-09-06,Sigiriya Rock Fortress,30.8,9.7,0,None,47,2612
2023-09-07,Sigiriya Rock Fortress,28.3,26.6,0,None,43,2225
2023-09-08,Sigiriya Rock Fortress,28.7,6.5,0,None,44,2238
2023-09-09,Sigiriya Rock Fortress,29.1,20.9,0,None,43,2762
2023-09-10,Sigiriya Rock Fortress,29.9,4.7,0,None,58,3135
2023-09-11,Sigiriya Rock Fortress,28.2,11.0,0,None,32,2137
2023-09-12,Sigiriya Rock Fortress,28.6,5.2,0,None,43,2398
2023-09-13,Sigiriya Rock Fortress,29.2,8.8,0,None,45,2252
2023-09-14,Sigiriya Rock Fortress,29.0,6.2,0,None,40,1978
2023-09-15,Sigiriya Rock Fortress,28.4,2.8,1,None,50,3153
2023-09-16,Sigiriya Rock Fortress,28.6,8.8,0,None,50,2910
2023-09-17,Sigiriya Rock Fortress,27.8,11.0,0,None,45,2395
2023-09-18,Sigiriya Rock Fortress,28.4,13.0,0,None,43,2334
2023-09-19,Sigiriya Rock Fortress,28.4,7.8,0,None,44,2515
2023-09-20,Sigiriya Rock Fortress,28.6,0.0,0,None,44,2959
2023-09-21,Sigiriya Rock Fortress,28.1,9.5,0,None,45,2203
2023-09-22,Sigiriya Rock Fortress,28.7,1.2,0,None,44,2274
2023-09-23,Sigiriya Rock Fortress,29.0,7.8,0,None,47,2683
2023-09-24,Sigiriya Rock Fortress,28.4,9.0,0,None,50,2992
2023-09-25,Sigiriya Rock Fortress,28.5,0.3,0,None,38,2332
2023-09-26,Sigiriya Rock Fortress,28.3,6.9,0,None,39,2041
2023-09-27,Sigiriya Rock Fortress,28.2,0.7,0,None,35,2180
2023-09-28,Sigiriya Rock Fortress,27.8,0.0,0,None,50,2048
2023-09-29,Sigiriya Rock Fortress,28.3,0.7,0,None,47,2642
2023-09-30,Sigiriya Rock Fortress,28.1,6.2,0,None,48,2764
2023-10-01,Sigiriya Rock Fortress,29.3,5.9,0,None,36,2755
2023-10-02,Sigiriya Rock Fortress,29.0,4.0,0,None,56,2271
2023-10-03,Sigiriya Rock Fortress,28.2,12.3,0,None,41,2059
2023-10-04,Sigiriya Rock Fortress,27.5,5.6,0,None,46,2272
2023-10-05,Sigiriya Rock Fortress,27.3,10.9,0,None,50,2332
2023-10-06,Sigiriya Rock Fortress,28.6,15.2,0,None,39,2236
2023-10-07,Sigiriya Rock Fortress,28.0,47.9,0,None,42,2638
2023-10-08,Sigiriya Rock Fortress,28.1,6.8,0,None,46,3051
2023-10-09,Sigiriya Rock Fortress,26.7,22.1,1,None,62,3257
2023-10-10,Sigiriya Rock Fortress,28.3,9.7,0,None,47,2648
2023-10-11,Sigiriya Rock Fortress,28.0,10.3,0,None,55,2582
2023-10-12,Sigiriya Rock Fortress,27.0,7.0,0,None,52,2399
2023-10-13,Sigiriya Rock Fortress,27.4,9.0,0,None,47,2529
2023-10-14,Sigiriya Rock Fortress,27.8,77.9,0,None,39,2136
2023-10-15,Sigiriya Rock Fortress,27.6,19.6,0,None,51,2951
2023-10-16,Sigiriya Rock Fortress,27.4,3.2,0,None,36,1859
2023-10-17,Sigiriya Rock Fortress,27.4,0.8,0,None,55,2364
2023-10-18,Sigiriya Rock Fortress,27.3,4.2,0,None,46,2283
2023-10-19,Sigiriya Rock Fortress,27.5,3.7,0,None,29,2222
2023-10-20,Sigiriya Rock Fortress,28.3,4.3,0,None,43,2318
2023-10-21,Sigiriya Rock Fortress,25.8,7.1,0,None,49,3110
2023-10-22,Sigiriya Rock Fortress,27.2,4.4,1,None,44,3791
2023-10-23,Sigiriya Rock Fortress,27.4,7.2,0,None,49,2628
2023-10-24,Sigiriya Rock Fortress,27.5,4.6,0,None,40,2503
2023-10-25,Sigiriya Rock Fortress,27.0,13.2,0,None,37,1834
2023-10-26,Sigiriya Rock Fortress,26.2,56.1,0,None,45,1770
2023-10-27,Sigiriya Rock Fortress,27.4,11.1,0,None,45,2112
2023-10-28,Sigiriya Rock Fortress,28.2,5.1,0,None,43,2497
2023-10-29,Sigiriya Rock Fortress,26.2,43.7,0,None,52,2425
2023-10-30,Sigiriya Rock Fortress,27.6,12.2,0,None,40,2441
2023-10-31,Sigiriya Rock Fortress,26.9,7.9,0,None,47,2404
2023-11-01,Sigiriya Rock Fortress,27.0,8.4,0,None,45,2708
2023-11-02,Sigiriya Rock Fortress,26.4,11.0,0,None,36,2089
2023-11-03,Sigiriya Rock Fortress,26.8,5.2,0,None,37,2690
2023-11-04,Sigiriya Rock Fortress,27.7,1.4,0,None,45,2962
2023-11-05,Sigiriya Rock Fortress,27.3,1.2,0,None,57,3132
2023-11-06,Sigiriya Rock Fortress,27.9,48.3,0,None,48,1589
2023-11-07,Sigiriya Rock Fortress,27.6,11.2,0,None,35,2316
2023-11-08,Sigiriya Rock Fortress,27.1,5.4,1,None,26,2501
2023-11-09,Sigiriya Rock Fortress,27.9,10.7,0,None,49,2198
2023-11-10,Sigiriya Rock Fortress,27.1,10.1,0,None,44,2511
2023-11-11,Sigiriya Rock Fortress,27.3,1.2,0,None,52,3292
2023-11-12,Sigiriya Rock Fortress,26.6,24.8,0,None,40,2762
2023-11-13,Sigiriya Rock Fortress,26.8,8.6,0,None,47,2211
2023-11-14,Sigiriya Rock Fortress,26.3,12.1,0,None,50,2274
2023-11-15,Sigiriya Rock Fortress,27.3,38.7,0,None,42,1844
2023-11-16,Sigiriya Rock Fortress,26.0,1.6,0,None,42,2429
2023-11-17,Sigiriya Rock Fortress,27.1,4.1,0,None,45,2661
2023-11-18,Sigiriya Rock Fortress,26.5,15.2,0,None,48,2850
2023-11-19,Sigiriya Rock Fortress,27.3,25.6,0,None,45,3053
2023-11-20,Sigiriya Rock Fortress,27.0,5.3,0,None,51,2607
2023-11-21,Sigiriya Rock Fortress,27.7,5.7,0,None,42,2215
2023-11-22,Sigiriya Rock Fortress,27.0,20.8,0,None,37,2154
2023-11-23,Sigiriya Rock Fortress,25.6,67.7,0,None,57,2095
2023-11-24,Sigiriya Rock Fortress,26.5,12.3,0,None,41,2568
2023-11-25,Sigiriya Rock Fortress,25.8,4.3,0,None,42,3029
2023-11-26,Sigiriya Rock Fortress,26.2,2.8,0,None,45,2859
2023-11-27,Sigiriya Rock Fortress,27.4,9.9,0,None,45,2213
2023-11-28,Sigiriya Rock Fortress,26.8,25.7,0,None,43,2140
2023-11-29,Sigiriya Rock Fortress,26.0,94.5,0,None,45,1564
2023-11-30,Sigiriya Rock Fortress,25.8,8.2,0,None,45,2320
2023-12-01,Sigiriya Rock Fortress,26.4,12.7,0,Peak Season,68,3606
2023-12-02,Sigiriya Rock Fortress,25.7,49.5,0,Peak Season,53,3331
2023-12-03,Sigiriya Rock Fortress,26.0,16.1,0,Peak Season,78,4109
2023-12-04,Sigiriya Rock Fortress,26.6,14.8,0,Peak Season,66,3416
2023-12-05,Sigiriya Rock Fortress,27.1,42.2,0,Peak Season,70,3242
2023-12-06,Sigiriya Rock Fortress,26.7,13.2,0,Peak Season,59,3726
2023-12-07,Sigiriya Rock Fortress,25.0,3.3,0,Peak Season,64,3445
2023-12-08,Sigiriya Rock Fortress,26.5,35.5,0,Peak Season,63,3157
2023-12-09,Sigiriya Rock Fortress,26.4,1.0,0,Peak Season,76,4150
2023-12-10,Sigiriya Rock Fortress,26.6,30.6,0,Peak Season,63,3915
2023-12-11,Sigiriya Rock Fortress,27.3,12.0,0,Peak Season,72,3918
2023-12-12,Sigiriya Rock Fortress,25.1,8.6,0,Peak Season,63,3777
2023-12-13,Sigiriya Rock Fortress,26.0,8.3,0,Peak Season,64,3517
2023-12-14,Sigiriya Rock Fortress,26.7,10.3,0,Peak Season,66,3635
2023-12-15,Sigiriya Rock Fortress,25.4,7.2,0,Peak Season,75,3629
