date,year,month,day_of_week,is_weekend,foreign_visitors_daily,local_visitors_daily,total_visitors_daily,peak_season_flag,holiday_flag
2024-03-07,2024,3,Thursday,0,991,1030,2021,1,0
2024-03-08,2024,3,Friday,0,1049,2294,3343,1,1
2024-03-09,2024,3,Saturday,1,1306,2860,4166,1,0
2024-03-10,2024,3,Sunday,1,1201,2206,3407,1,0
2024-03-11,2024,3,Monday,0,789,1119,1908,1,0
2024-03-12,2024,3,Tuesday,0,544,1118,1662,1,0
2024-03-13,2024,3,Wednesday,0,1530,1696,3226,1,0
2024-03-14,2024,3,Thursday,0,1043,845,1888,1,0
2024-03-15,2024,3,Friday,0,819,1945,2764,1,0
2024-03-16,2024,3,Saturday,1,1383,2859,4242,1,0
2024-03-17,2024,3,Sunday,1,1502,2993,4495,1,0
2024-03-18,2024,3,Monday,0,845,633,1478,1,0
2024-03-19,2024,3,Tuesday,0,778,933,1711,1,0
2024-03-20,2024,3,Wednesday,0,974,1065,2039,1,0
2024-03-21,2024,3,Thursday,0,1137,1624,2761,1,0
2024-03-22,2024,3,Friday,0,1092,1567,2659,1,0
2024-03-23,2024,3,Saturday,1,1174,2974,4148,1,0
2024-03-24,2024,3,Sunday,1,1335,2634,3969,1,1
2024-03-25,2024,3,Monday,0,946,981,1927,1,0
2024-03-26,2024,3,Tuesday,0,974,807,1781,1,0
2024-03-27,2024,3,Wednesday,0,947,999,1946,1,0
2024-03-28,2024,3,Thursday,0,925,1375,2300,1,0
2024-03-29,2024,3,Friday,0,936,3335,4271,1,1
2024-03-30,2024,3,Saturday,1,1092,3630,4722,1,0
2024-03-31,2024,3,Sunday,1,1306,2188,3494,1,0
2024-04-01,2024,4,Monday,0,519,753,1272,0,0
2024-04-02,2024,4,Tuesday,0,599,608,1207,0,0
2024-04-03,2024,4,Wednesday,0,835,1265,2100,0,0
2024-04-04,2024,4,Thursday,0,808,1958,2766,0,0
2024-04-05,2024,4,Friday,0,827,1746,2573,0,0
2024-04-06,2024,4,Saturday,1,1107,1848,2955,0,0
2024-04-07,2024,4,Sunday,1,1229,2372,3601,0,0
2024-04-08,2024,4,Monday,0,668,1173,1841,0,0
2024-04-09,2024,4,Tuesday,0,800,738,1538,0,0
2024-04-10,2024,4,Wednesday,0,581,1214,1795,0,0
2024-04-11,2024,4,Thursday,0,1043,2125,3168,0,1
2024-04-12,2024,4,Friday,0,1339,7413,8752,0,1
2024-04-13,2024,4,Saturday,1,2049,7572,9621,0,1
2024-04-14,2024,4,Sunday,1,1113,4038,5151,0,0
2024-04-15,2024,4,Monday,0,947,1722,2669,0,0
2024-04-16,2024,4,Tuesday,0,653,886,1539,0,0
2024-04-17,2024,4,Wednesday,0,811,1166,1977,0,0
2024-04-18,2024,4,Thursday,0,1107,1060,2167,0,0
2024-04-19,2024,4,Friday,0,960,1363,2323,0,0
2024-04-20,2024,4,Saturday,1,1302,2053,3355,0,0
2024-04-21,2024,4,Sunday,1,998,1901,2899,0,0
2024-04-22,2024,4,Monday,0,662,1256,1918,0,0
2024-04-23,2024,4,Tuesday,0,811,1412,2223,0,1
2024-04-24,2024,4,Wednesday,0,851,720,1571,0,0
2024-04-25,2024,4,Thursday,0,1005,1578,2583,0,0
2024-04-26,2024,4,Friday,0,1129,1833,2962,0,0
2024-04-27,2024,4,Saturday,1,1003,3137,4140,0,0
2024-04-28,2024,4,Sunday,1,1149,2262,3411,0,0
2024-04-29,2024,4,Monday,0,610,845,1455,0,0
2024-04-30,2024,4,Tuesday,0,583,1160,1743,0,0
2024-05-01,2024,5,Wednesday,0,973,2468,3441,0,1
2024-05-02,2024,5,Thursday,0,519,1038,1557,0,0
2024-05-03,2024,5,Friday,0,546,2640,3186,0,0
2024-05-04,2024,5,Saturday,1,1852,2556,4408,0,0
2024-05-05,2024,5,Sunday,1,1253,1914,3167,0,0
2024-05-06,2024,5,Monday,0,875,1015,1890,0,0
2024-05-07,2024,5,Tuesday,0,618,826,1444,0,0
2024-05-08,2024,5,Wednesday,0,760,782,1542,0,0
2024-05-09,2024,5,Thursday,0,979,1128,2107,0,0
2024-05-10,2024,5,Friday,0,922,1274,2196,0,0
2024-05-11,2024,5,Saturday,1,1204,2625,3829,0,0
2024-05-12,2024,5,Sunday,1,1234,2174,3408,0,0
2024-05-13,2024,5,Monday,0,1018,918,1936,0,0
2024-05-14,2024,5,Tuesday,0,941,1386,2327,0,0
2024-05-15,2024,5,Wednesday,0,941,1010,1951,0,0
2024-05-16,2024,5,Thursday,0,784,1318,2102,0,0
2024-05-17,2024,5,Friday,0,709,2706,3415,0,0
2024-05-18,2024,5,Saturday,1,1087,3150,4237,0,0
2024-05-19,2024,5,Sunday,1,1094,2632,3726,0,0
2024-05-20,2024,5,Monday,0,790,665,1455,0,0
2024-05-21,2024,5,Tuesday,0,832,820,1652,0,0
2024-05-22,2024,5,Wednesday,0,1071,2403,3474,0,0
2024-05-23,2024,5,Thursday,0,1186,2424,3610,0,1
2024-05-24,2024,5,Friday,0,1798,4568,6366,0,1
2024-05-25,2024,5,Saturday,1,1443,5495,6938,0,0
2024-05-26,2024,5,Sunday,1,956,2754,3710,0,0
2024-05-27,2024,5,Monday,0,733,571,1304,0,0
2024-05-28,2024,5,Tuesday,0,794,1031,1825,0,0
2024-05-29,2024,5,Wednesday,0,744,891,1635,0,0
2024-05-30,2024,5,Thursday,0,681,1019,1700,0,0
2024-05-31,2024,5,Friday,0,643,1846,2489,0,0
2024-06-01,2024,6,Saturday,1,1323,2395,3718,0,0
2024-06-02,2024,6,Sunday,1,1341,3291,4632,0,0
2024-06-03,2024,6,Monday,0,731,1157,1888,0,0
2024-06-04,2024,6,Tuesday,0,663,1216,1879,0,0
2024-06-05,2024,6,Wednesday,0,844,1057,1901,0,0
2024-06-06,2024,6,Thursday,0,728,1086,1814,0,0
2024-06-07,2024,6,Friday,0,1091,1320,2411,0,0
2024-06-08,2024,6,Saturday,1,879,2321,3200,0,0
2024-06-09,2024,6,Sunday,1,1257,2788,4045,0,0
2024-06-10,2024,6,Monday,0,558,783,1341,0,0
2024-06-11,2024,6,Tuesday,0,920,1208,2128,0,0
2024-06-12,2024,6,Wednesday,0,810,1195,2005,0,0
2024-06-13,2024,6,Thursday,0,1024,1081,2105,0,0
2024-06-14,2024,6,Friday,0,678,2464,3142,0,0
2024-06-15,2024,6,Saturday,1,1260,2155,3415,0,0
2024-06-16,2024,6,Sunday,1,1221,3017,4238,0,0
2024-06-17,2024,6,Monday,0,728,1579,2307,0,1
2024-06-18,2024,6,Tuesday,0,630,575,1205,0,0
2024-06-19,2024,6,Wednesday,0,872,628,1500,0,0
2024-06-20,2024,6,Thursday,0,863,1848,2711,0,0
2024-06-21,2024,6,Friday,0,1353,6880,8233,0,1
2024-06-22,2024,6,Saturday,1,1242,7219,8461,0,0
2024-06-23,2024,6,Sunday,1,1322,2037,3359,0,0
2024-06-24,2024,6,Monday,0,695,640,1335,0,0
2024-06-25,2024,6,Tuesday,0,815,851,1666,0,0
2024-06-26,2024,6,Wednesday,0,732,1179,1911,0,0
2024-06-27,2024,6,Thursday,0,928,818,1746,0,0
2024-06-28,2024,6,Friday,0,1244,1632,2876,0,0
2024-06-29,2024,6,Saturday,1,1072,2470,3542,0,0
2024-06-30,2024,6,Sunday,1,865,2558,3423,0,0
2024-07-01,2024,7,Monday,0,703,946,1649,1,0
2024-07-02,2024,7,Tuesday,0,688,1068,1756,1,0
2024-07-03,2024,7,Wednesday,0,1032,1099,2131,1,0
2024-07-04,2024,7,Thursday,0,845,1478,2323,1,0
2024-07-05,2024,7,Friday,0,693,2383,3076,1,0
2024-07-06,2024,7,Saturday,1,1008,2378,3386,1,0
2024-07-07,2024,7,Sunday,1,1087,1710,2797,1,0
2024-07-08,2024,7,Monday,0,1060,1133,2193,1,0
2024-07-09,2024,7,Tuesday,0,1049,1039,2088,1,0
2024-07-10,2024,7,Wednesday,0,883,891,1774,1,0
2024-07-11,2024,7,Thursday,0,849,993,1842,1,0
2024-07-12,2024,7,Friday,0,1039,1936,2975,1,0
2024-07-13,2024,7,Saturday,1,1322,2319,3641,1,0
2024-07-14,2024,7,Sunday,1,1138,1932,3070,1,0
2024-07-15,2024,7,Monday,0,769,1068,1837,1,0
2024-07-16,2024,7,Tuesday,0,1131,1344,2475,1,0
2024-07-17,2024,7,Wednesday,0,803,1231,2034,1,0
2024-07-18,2024,7,Thursday,0,834,1828,2662,1,0
2024-07-19,2024,7,Friday,0,1438,1938,3376,1,0
2024-07-20,2024,7,Saturday,1,1289,4332,5621,1,1
2024-07-21,2024,7,Sunday,1,1192,2144,3336,1,0
2024-07-22,2024,7,Monday,0,918,752,1670,1,0
2024-07-23,2024,7,Tuesday,0,730,1038,1768,1,0
2024-07-24,2024,7,Wednesday,0,1388,766,2154,1,0
2024-07-25,2024,7,Thursday,0,771,1226,1997,1,0
2024-07-26,2024,7,Friday,0,953,1840,2793,1,0
2024-07-27,2024,7,Saturday,1,1907,2291,4198,1,0
2024-07-28,2024,7,Sunday,1,1129,3012,4141,1,0
2024-07-29,2024,7,Monday,0,653,1335,1988,1,0
2024-07-30,2024,7,Tuesday,0,803,623,1426,1,0
2024-07-31,2024,7,Wednesday,0,1129,998,2127,1,0
2024-08-01,2024,8,Thursday,0,895,1307,2202,1,0
2024-08-02,2024,8,Friday,0,1020,2444,3464,1,0
2024-08-03,2024,8,Saturday,1,1498,2992,4490,1,0
2024-08-04,2024,8,Sunday,1,872,2802,3674,1,0
2024-08-05,2024,8,Monday,0,1046,1483,2529,1,0
2024-08-06,2024,8,Tuesday,0,608,1477,2085,1,0
2024-08-07,2024,8,Wednesday,0,861,1070,1931,1,0
2024-08-08,2024,8,Thursday,0,1162,1178,2340,1,0
2024-08-09,2024,8,Friday,0,1029,1854,2883,1,0
2024-08-10,2024,8,Saturday,1,1256,2387,3643,1,0
2024-08-11,2024,8,Sunday,1,946,2796,3742,1,0
2024-08-12,2024,8,Monday,0,842,1231,2073,1,0
2024-08-13,2024,8,Tuesday,0,715,965,1680,1,0
2024-08-14,2024,8,Wednesday,0,894,793,1687,1,0
2024-08-15,2024,8,Thursday,0,1036,1239,2275,1,0
2024-08-16,2024,8,Friday,0,780,1418,2198,1,0
2024-08-17,2024,8,Saturday,1,1388,3619,5007,1,0
2024-08-18,2024,8,Sunday,1,985,2300,3285,1,0
2024-08-19,2024,8,Monday,0,909,1361,2270,1,1
2024-08-20,2024,8,Tuesday,0,630,932,1562,1,0
2024-08-21,2024,8,Wednesday,0,926,1199,2125,1,0
2024-08-22,2024,8,Thursday,0,876,1182,2058,1,0
2024-08-23,2024,8,Friday,0,906,2769,3675,1,0
2024-08-24,2024,8,Saturday,1,1985,2550,4535,1,0
2024-08-25,2024,8,Sunday,1,1130,1573,2703,1,0
2024-08-26,2024,8,Monday,0,730,963,1693,1,0
2024-08-27,2024,8,Tuesday,0,917,1101,2018,1,0
2024-08-28,2024,8,Wednesday,0,881,1102,1983,1,0
2024-08-29,2024,8,Thursday,0,773,1175,1948,1,0
2024-08-30,2024,8,Friday,0,1182,1939,3121,1,0
2024-08-31,2024,8,Saturday,1,1441,2861,4302,1,0
2024-09-01,2024,9,Sunday,1,854,2370,3224,0,0
2024-09-02,2024,9,Monday,0,646,823,1469,0,0
2024-09-03,2024,9,Tuesday,0,628,664,1292,0,0
2024-09-04,2024,9,Wednesday,0,760,947,1707,0,0
2024-09-05,2024,9,Thursday,0,595,825,1420,0,0
2024-09-06,2024,9,Friday,0,807,1215,2022,0,0
2024-09-07,2024,9,Saturday,1,1258,1987,3245,0,0
2024-09-08,2024,9,Sunday,1,1066,3160,4226,0,0
2024-09-09,2024,9,Monday,0,548,560,1108,0,0
2024-09-10,2024,9,Tuesday,0,613,1198,1811,0,0
2024-09-11,2024,9,Wednesday,0,834,1257,2091,0,0
2024-09-12,2024,9,Thursday,0,609,684,1293,0,0
2024-09-13,2024,9,Friday,0,1067,1954,3021,0,0
2024-09-14,2024,9,Saturday,1,1506,1397,2903,0,0
2024-09-15,2024,9,Sunday,1,1054,3041,4095,0,0
2024-09-16,2024,9,Monday,0,677,1049,1726,0,1
2024-09-17,2024,9,Tuesday,0,713,946,1659,0,1
2024-09-18,2024,9,Wednesday,0,562,472,1034,0,0
2024-09-19,2024,9,Thursday,0,952,776,1728,0,0
2024-09-20,2024,9,Friday,0,656,1493,2149,0,0
2024-09-21,2024,9,Saturday,1,1141,3495,4636,0,0
2024-09-22,2024,9,Sunday,1,677,1693,2370,0,0
2024-09-23,2024,9,Monday,0,602,1077,1679,0,0
2024-09-24,2024,9,Tuesday,0,653,655,1308,0,0
2024-09-25,2024,9,Wednesday,0,615,647,1262,0,0
2024-09-26,2024,9,Thursday,0,750,996,1746,0,0
2024-09-27,2024,9,Friday,0,882,1615,2497,0,0
2024-09-28,2024,9,Saturday,1,1163,1689,2852,0,0
2024-09-29,2024,9,Sunday,1,792,2197,2989,0,0
2024-09-30,2024,9,Monday,0,580,982,1562,0,0
2024-10-01,2024,10,Tuesday,0,589,1297,1886,0,0
2024-10-02,2024,10,Wednesday,0,648,1470,2118,0,0
2024-10-03,2024,10,Thursday,0,613,893,1506,0,0
2024-10-04,2024,10,Friday,0,758,1351,2109,0,0
2024-10-05,2024,10,Saturday,1,2103,1596,3699,0,0
2024-10-06,2024,10,Sunday,1,894,1255,2149,0,0
2024-10-07,2024,10,Monday,0,722,638,1360,0,0
2024-10-08,2024,10,Tuesday,0,642,872,1514,0,0
2024-10-09,2024,10,Wednesday,0,760,1245,2005,0,0
2024-10-10,2024,10,Thursday,0,660,936,1596,0,0
2024-10-11,2024,10,Friday,0,710,898,1608,0,0
2024-10-12,2024,10,Saturday,1,870,3662,4532,0,0
2024-10-13,2024,10,Sunday,1,1007,2084,3091,0,0
2024-10-14,2024,10,Monday,0,616,711,1327,0,0
2024-10-15,2024,10,Tuesday,0,712,826,1538,0,0
2024-10-16,2024,10,Wednesday,0,596,753,1349,0,0
2024-10-17,2024,10,Thursday,0,748,946,1694,0,1
2024-10-18,2024,10,Friday,0,713,1695,2408,0,0
2024-10-19,2024,10,Saturday,1,1095,1977,3072,0,0
2024-10-20,2024,10,Sunday,1,959,1731,2690,0,0
2024-10-21,2024,10,Monday,0,621,1137,1758,0,0
2024-10-22,2024,10,Tuesday,0,618,721,1339,0,0
2024-10-23,2024,10,Wednesday,0,753,1651,2404,0,0
2024-10-24,2024,10,Thursday,0,737,946,1683,0,0
2024-10-25,2024,10,Friday,0,662,2024,2686,0,0
2024-10-26,2024,10,Saturday,1,1361,1653,3014,0,0
2024-10-27,2024,10,Sunday,1,1014,1793,2807,0,0
2024-10-28,2024,10,Monday,0,647,548,1195,0,0
2024-10-29,2024,10,Tuesday,0,742,582,1324,0,0
2024-10-30,2024,10,Wednesday,0,833,1289,2122,0,0
2024-10-31,2024,10,Thursday,0,626,1392,2018,0,1
2024-11-01,2024,11,Friday,0,727,2282,3009,0,0
2024-11-02,2024,11,Saturday,1,1072,2163,3235,0,0
2024-11-03,2024,11,Sunday,1,1236,1748,2984,0,0
2024-11-04,2024,11,Monday,0,623,678,1301,0,0
2024-11-05,2024,11,Tuesday,0,529,810,1339,0,0
2024-11-06,2024,11,Wednesday,0,995,753,1748,0,0
2024-11-07,2024,11,Thursday,0,753,928,1681,0,0
2024-11-08,2024,11,Friday,0,797,1181,1978,0,0
2024-11-09,2024,11,Saturday,1,1477,2537,4014,0,0
2024-11-10,2024,11,Sunday,1,826,1738,2564,0,0
2024-11-11,2024,11,Monday,0,533,758,1291,0,0
2024-11-12,2024,11,Tuesday,0,619,646,1265,0,0
2024-11-13,2024,11,Wednesday,0,885,892,1777,0,0
2024-11-14,2024,11,Thursday,0,855,1346,2201,0,0
2024-11-15,2024,11,Friday,0,1131,2476,3607,0,1
2024-11-16,2024,11,Saturday,1,1013,3246,4259,0,0
2024-11-17,2024,11,Sunday,1,1296,1328,2624,0,0
2024-11-18,2024,11,Monday,0,634,929,1563,0,0
2024-11-19,2024,11,Tuesday,0,591,509,1100,0,0
2024-11-20,2024,11,Wednesday,0,713,832,1545,0,0
2024-11-21,2024,11,Thursday,0,640,865,1505,0,0
2024-11-22,2024,11,Friday,0,811,1439,2250,0,0
2024-11-23,2024,11,Saturday,1,1083,2329,3412,0,0
2024-11-24,2024,11,Sunday,1,844,2124,2968,0,0
2024-11-25,2024,11,Monday,0,658,744,1402,0,0
2024-11-26,2024,11,Tuesday,0,721,1123,1844,0,0
2024-11-27,2024,11,Wednesday,0,793,902,1695,0,0
2024-11-28,2024,11,Thursday,0,872,891,1763,0,0
2024-11-29,2024,11,Friday,0,782,1304,2086,0,0
2024-11-30,2024,11,Saturday,1,1409,1723,3132,0,0
2024-12-01,2024,12,Sunday,1,1326,2348,3674,1,0
2024-12-02,2024,12,Monday,0,717,859,1576,1,0
2024-12-03,2024,12,Tuesday,0,757,1301,2058,1,0
2024-12-04,2024,12,Wednesday,0,998,1315,2313,1,0
2024-12-05,2024,12,Thursday,0,830,1042,1872,1,0
2024-12-06,2024,12,Friday,0,1017,1686,2703,1,0
2024-12-07,2024,12,Saturday,1,1203,2100,3303,1,0
2024-12-08,2024,12,Sunday,1,1467,1824,3291,1,0
2024-12-09,2024,12,Monday,0,660,1080,1740,1,0
2024-12-10,2024,12,Tuesday,0,896,929,1825,1,0
2024-12-11,2024,12,Wednesday,0,900,1120,2020,1,0
2024-12-12,2024,12,Thursday,0,863,2037,2900,1,0
2024-12-13,2024,12,Friday,0,950,1344,2294,1,0
2024-12-14,2024,12,Saturday,1,1139,4142,5281,1,1
2024-12-15,2024,12,Sunday,1,1312,2951,4263,1,0
2024-12-16,2024,12,Monday,0,706,1208,1914,1,0
2024-12-17,2024,12,Tuesday,0,749,871,1620,1,0
2024-12-18,2024,12,Wednesday,0,1007,1244,2251,1,0
2024-12-19,2024,12,Thursday,0,703,1393,2096,1,0
2024-12-20,2024,12,Friday,0,892,1606,2498,1,0
2024-12-21,2024,12,Saturday,1,1462,2393,3855,1,0
2024-12-22,2024,12,Sunday,1,1651,3867,5518,1,0
2024-12-23,2024,12,Monday,0,733,976,1709,1,0
2024-12-24,2024,12,Tuesday,0,692,1439,2131,1,0
2024-12-25,2024,12,Wednesday,0,724,1709,2433,1,1
2024-12-26,2024,12,Thursday,0,772,1070,1842,1,0
2024-12-27,2024,12,Friday,0,1192,1136,2328,1,0
2024-12-28,2024,12,Saturday,1,1072,2363,3435,1,0
2024-12-29,2024,12,Sunday,1,1520,2438,3958,1,0
2024-12-30,2024,12,Monday,0,568,929,1497,1,0
2024-12-31,2024,12,Tuesday,0,827,1074,1901,1,0
